Frame,x1,y1,x2,y2,Confidence
778,595,149,984,1039,0.4691261947154999
778,1304,30,1756,1080,0.37564823031425476
779,3,125,579,1042,0.9714004397392273
779,1566,14,1919,1071,0.8327986001968384
779,1411,19,1920,1071,0.4365113079547882
780,3,143,688,1035,0.9447382688522339
780,1772,22,1920,1060,0.7436282634735107
780,1595,28,1920,1048,0.6377788782119751
780,989,158,1221,1060,0.542899489402771
781,9,154,743,1072,0.9180067777633667
781,1625,37,1919,1060,0.8491528034210205
781,1107,93,1534,1058,0.503694474697113
782,7,152,691,1080,0.7700384855270386
782,1656,38,1919,1026,0.5552573204040527
783,1,146,574,1048,0.7888144850730896
783,1662,28,1920,1050,0.6187530159950256
783,1530,40,1920,1029,0.6000317335128784
784,1659,34,1920,1032,0.671809196472168
784,1522,37,1920,1025,0.5318140983581543
784,1,153,616,1067,0.3287564814090729
784,446,159,1301,1032,0.27432915568351746
785,1782,32,1920,1049,0.5607181787490845
785,1,145,656,1047,0.4450134336948395
785,523,160,1295,1033,0.4036460518836975
785,1420,41,1915,1045,0.2668798863887787
786,1756,32,1920,1051,0.5951323509216309
786,1,144,667,1046,0.5230677723884583
786,678,159,1305,1034,0.48078054189682007
786,1522,33,1920,1053,0.30734074115753174
786,323,160,1301,1031,0.2646271884441376
787,0,148,698,1044,0.652873694896698
787,813,160,1277,1040,0.5826234817504883
787,1780,23,1920,1080,0.5508843064308167
787,1468,38,1898,1037,0.32737448811531067
787,1443,40,1773,1050,0.29933997988700867
788,1745,27,1920,1045,0.6786631345748901
788,410,164,1263,1031,0.46600860357284546
788,1654,40,1920,1034,0.40129354596138
788,1,146,617,1065,0.25439178943634033
789,1701,23,1919,1041,0.7822121381759644
789,12,159,767,1028,0.4292740821838379
789,1418,48,1633,1041,0.2588798999786377
790,1538,18,1920,1080,0.8678649067878723
790,530,148,967,1042,0.3968062400817871
790,1026,55,1254,1029,0.38188207149505615
791,1593,24,1919,1080,0.830848753452301
791,0,59,431,1067,0.7391461133956909
791,728,99,965,1054,0.5917608737945557
792,1591,23,1919,1070,0.8551892638206482
792,0,129,593,1060,0.37692752480506897
792,1,88,413,1065,0.28803494572639465
793,1586,27,1919,1080,0.8171976804733276
793,1409,33,1920,1080,0.5925521850585938
793,0,121,584,1045,0.5527598857879639
793,649,124,885,1027,0.5169451832771301
794,1584,21,1919,1080,0.7819933891296387
794,0,117,600,1039,0.7045401334762573
794,1445,32,1920,1080,0.4463062584400177
794,678,137,937,1042,0.2685091197490692
795,0,102,367,1063,0.7403489351272583
795,1508,14,1920,1080,0.7230339646339417
795,803,135,1018,1021,0.5893201231956482
795,1265,22,1919,1080,0.47086939215660095
796,1394,26,1920,1035,0.9360857605934143
796,0,193,416,1075,0.8601256012916565
796,880,91,1122,1024,0.3336998522281647
797,1440,29,1920,1060,0.9559048414230347
797,0,157,524,1054,0.5915724039077759
797,582,149,1133,1037,0.3714715540409088
797,807,114,1124,1023,0.3141839802265167
797,1193,25,1373,1037,0.2782815992832184
798,1574,26,1919,1050,0.9309725165367126
798,763,152,1223,1036,0.5765860676765442
798,1312,26,1500,1036,0.5727169513702393
798,2,148,692,1069,0.5595070123672485
799,1691,48,1920,1037,0.8353774547576904
799,1,148,494,1074,0.6142751574516296
799,1371,37,1709,1030,0.46746307611465454
799,1368,38,1610,1049,0.4178767204284668
800,1601,52,1920,1034,0.9129155874252319
800,1276,46,1536,1044,0.8681389689445496
800,1,74,542,1074,0.5789843797683716
800,1055,58,1537,1043,0.41530266404151917
800,2,33,339,1069,0.35037529468536377
801,1622,64,1919,1038,0.9113303422927856
801,1122,48,1548,1044,0.9038705825805664
801,4,120,630,1063,0.798971951007843
802,1284,37,1723,1029,0.9301297664642334
803,1363,36,1920,1034,0.843355119228363
803,1558,38,1920,1051,0.8046283721923828
803,477,153,962,1037,0.4895384907722473
803,0,5,135,1067,0.40327054262161255
804,1356,41,1808,1045,0.8500691056251526
804,0,12,192,1040,0.3931642770767212
805,1638,49,1920,1029,0.7601633667945862
805,1331,55,1920,1031,0.7230644822120667
805,445,153,927,1037,0.5982980132102966
805,0,19,186,1048,0.42738527059555054
806,8,163,1283,1080,0.983180046081543
807,0,152,1895,1080,0.7106605172157288
808,0,152,1904,1080,0.4410541355609894
809,57,149,1919,1080,0.3274300992488861
811,3,174,571,1075,0.2963431775569916
816,1359,72,1919,1057,0.6457444429397583
816,4,169,1355,1050,0.5275599360466003
817,1391,75,1919,1054,0.504996120929718
817,0,166,1548,1052,0.39528802037239075
818,1334,73,1919,1055,0.3102446496486664
820,1023,79,1912,1063,0.33414021134376526
821,1054,83,1913,1064,0.40913596749305725
822,1189,78,1910,1053,0.6275556683540344
823,1358,66,1919,1054,0.804018497467041
824,1335,69,1918,1060,0.6017355918884277
825,1320,64,1915,1048,0.6540725827217102
827,9,156,777,1080,0.37102657556533813
828,1252,40,1914,1069,0.7525736689567566
828,8,156,794,1080,0.6196189522743225
829,1318,34,1918,1068,0.5694912075996399
830,1438,49,1920,1039,0.7966845631599426
830,0,110,318,1080,0.2990969121456146
831,1343,61,1919,1042,0.6473533511161804
831,1658,66,1920,1047,0.5008318424224854
832,1580,71,1918,1068,0.5438966155052185
833,1186,40,1905,1044,0.543864905834198
834,1254,35,1915,1044,0.9673589468002319
834,648,157,1146,1036,0.5213300585746765
834,4,40,373,1047,0.2566697597503662
835,1296,47,1917,1042,0.9585594534873962
835,650,151,1165,1036,0.41818925738334656
835,0,36,319,1053,0.3466741740703583
836,1384,43,1920,1045,0.9813967943191528
836,617,154,1032,1039,0.5170270204544067
836,0,35,227,1051,0.44689732789993286
837,1543,50,1919,1047,0.7764971852302551
837,614,155,1041,1041,0.4692786931991577
837,250,154,462,1043,0.3713851273059845
837,0,28,140,1059,0.3060968220233917
838,1199,39,1907,1035,0.737724781036377
838,0,37,408,1030,0.7062513828277588
838,591,157,1076,1056,0.3908579647541046
838,1621,51,1918,1019,0.3603822588920593
838,0,34,280,1031,0.263176292181015
839,1239,36,1917,1053,0.9689204692840576
839,0,35,331,1050,0.6840336322784424
839,424,155,966,1049,0.6083005666732788
840,1330,34,1916,1053,0.9680948853492737
840,0,41,281,1064,0.6166786551475525
840,402,157,1064,1046,0.5351494550704956
841,1523,31,1920,1059,0.9352006912231445
841,377,155,1067,1055,0.7964168190956116
841,0,38,231,1054,0.5020527839660645
842,478,153,1108,1047,0.7098398804664612
842,0,43,191,1041,0.6808669567108154
842,1216,27,1662,1029,0.3829103708267212
842,1239,30,1919,1027,0.3545580506324768
842,1676,35,1919,1014,0.25989046692848206
843,1344,32,1919,1064,0.9853391647338867
843,473,153,1159,1040,0.6221636533737183
843,0,46,311,1044,0.368714839220047
843,0,44,152,1042,0.3666340112686157
844,1435,33,1920,1070,0.9246131181716919
844,235,158,1172,1043,0.3933524787425995
844,649,159,1226,1042,0.3134848177433014
844,0,39,364,1021,0.2668021619319916
845,1608,26,1919,1054,0.7975332736968994
845,1476,30,1920,1051,0.46776315569877625
845,0,42,297,1013,0.36990925669670105
846,1410,40,1920,1036,0.7575427293777466
847,1538,36,1920,1020,0.8056111335754395
847,202,145,690,1047,0.6536064147949219
847,0,60,136,1036,0.2752717137336731
848,1654,32,1920,1044,0.6905065178871155
848,1087,59,1596,1044,0.49447348713874817
849,1161,34,1904,1019,0.7095475196838379
849,0,124,647,1050,0.379009872674942
850,1215,42,1915,1030,0.7838245630264282
850,1,84,663,1056,0.7746343016624451
851,0,69,652,1052,0.8805636167526245
851,1194,41,1916,1033,0.8006361722946167
852,1,97,624,1034,0.9493246674537659
852,1197,39,1916,1032,0.8089989423751831
852,679,71,1068,915,0.34463196992874146
853,2,57,589,1026,0.8425209522247314
853,1220,35,1917,1028,0.8405129909515381
854,2,51,573,1027,0.9496896862983704
854,1197,35,1917,1038,0.7395917773246765
855,1,46,544,1029,0.816369891166687
855,1180,33,1915,1043,0.7190518379211426
856,1203,25,1916,1049,0.7284314632415771
856,1,44,513,1031,0.3040919303894043
856,11,48,777,1030,0.28335776925086975
857,1208,33,1916,1038,0.7930288314819336
857,0,49,464,1034,0.7344310283660889
858,1235,25,1917,1040,0.7093079686164856
858,0,34,392,1034,0.5557634830474854
859,1250,26,1917,1051,0.749409556388855
859,2,30,319,1037,0.3597643971443176
859,379,33,776,1043,0.32631006836891174
860,1259,30,1915,1042,0.7977167963981628
860,268,37,777,1024,0.5278477668762207
860,0,40,200,1034,0.28545087575912476
861,1289,35,1917,1048,0.8857731223106384
861,113,39,766,1071,0.659887433052063
862,1349,38,1916,1037,0.8742530345916748
862,17,26,730,1080,0.37917080521583557
863,1301,43,1918,1032,0.8868777751922607
863,8,30,763,1065,0.6065396070480347
863,0,16,402,1080,0.30549636483192444
863,842,48,1227,1039,0.2763010561466217
864,1256,38,1917,1030,0.8179289102554321
864,0,16,328,1080,0.4008456766605377
864,87,31,763,1064,0.37778744101524353
865,1408,39,1919,1035,0.5717052221298218
865,1,19,569,1080,0.4346827268600464
865,63,26,723,1080,0.3563787341117859
865,839,45,1354,1038,0.35266220569610596
865,1609,39,1920,1035,0.2788693308830261
866,1451,45,1920,1029,0.7775090932846069
866,172,29,546,1080,0.6153827905654907
866,0,47,319,1080,0.5980405211448669
866,0,39,496,1080,0.5658978819847107
866,782,45,1232,1051,0.530989944934845
866,1586,47,1919,1014,0.43882134556770325
866,56,23,685,1080,0.26267296075820923
867,0,28,221,1080,0.8559344410896301
867,1549,44,1920,1044,0.5692624449729919
867,567,46,848,1070,0.29439815878868103
867,1298,44,1917,1041,0.29012301564216614
868,1511,46,1920,1051,0.9229936003684998
868,4,38,508,1065,0.7457032203674316
868,618,38,1211,1025,0.3876212537288666
869,1550,38,1920,1059,0.9536157846450806
869,599,34,1228,1025,0.6458703279495239
869,653,35,996,1021,0.5667554140090942
869,1010,39,1469,1019,0.4512755274772644
869,511,32,1029,1027,0.38669833540916443
870,1714,37,1919,1030,0.7624168395996094
870,581,32,1106,1025,0.6200041770935059
870,30,27,454,1055,0.38298189640045166
870,1150,40,1641,1030,0.30598315596580505
